impl,config,mesh_file,mesh_display,grid_res,num_triangles,runs,mean_ms,stdev_ms,min_ms,max_ms,speedup_vs_seq
mpi,mpi_8p,data/bottle_0001.off,bottle_0001.off,64,1070,3,1.985783,1.258079,0.591151,3.035255,1.756403
cuda,cuda_64tpb,data/bottle_0001.off,bottle_0001.off,64,1070,3,0.983979,0.130062,0.855040,1.115136,3.544625
cuda,cuda_128tpb,data/bottle_0001.off,bottle_0001.off,64,1070,3,0.973483,0.120338,0.851968,1.092608,3.582843
cuda,cuda_256tpb,data/bottle_0001.off,bottle_0001.off,64,1070,3,0.967680,0.047624,0.920576,1.015808,3.604328
sequential,seq_1t,data/chair_0001.off,chair_0001.off,64,2234,3,4.767399,2.342812,3.377972,7.472308,1.000000
openmp,omp_1t,data/chair_0001.off,chair_0001.off,64,2234,3,3.904946,0.645850,3.522560,4.650628,1.220862
openmp,omp_4t,data/chair_0001.off,chair_0001.off,64,2234,3,2.007367,0.587121,1.441257,2.613456,2.374951
openmp,omp_8t,data/chair_0001.off,chair_0001.off,64,2234,3,10.129656,1.351636,8.944796,11.601858,0.470638
pthreads,pth_1t,data/chair_0001.off,chair_0001.off,64,2234,3,4.241118,0.117570,4.110619,4.338775,1.124090
pthreads,pth_4t,data/chair_0001.off,chair_0001.off,64,2234,3,3.641728,0.845655,3.040017,4.608610,1.309103
pthreads,pth_8t,data/chair_0001.off,chair_0001.off,64,2234,3,4.198451,0.795515,3.422906,5.012535,1.135514
mpi,mpi_1p,data/chair_0001.off,chair_0001.off,64,2234,3,4.910808,0.174290,4.727232,5.074024,0.970797
mpi,mpi_4p,data/chair_0001.off,chair_0001.off,64,2234,3,1.128459,0.061571,1.092161,1.199549,4.224699
mpi,mpi_8p,data/chair_0001.off,chair_0001.off,64,2234,3,2.053265,0.351844,1.646990,2.256598,2.321863
cuda,cuda_64tpb,data/chair_0001.off,chair_0001.off,64,2234,3,0.902144,0.078006,0.841728,0.990208,5.284521
cuda,cuda_128tpb,data/chair_0001.off,chair_0001.off,64,2234,3,1.100395,0.286186,0.922624,1.430528,4.332444
cuda,cuda_256tpb,data/chair_0001.off,chair_0001.off,64,2234,3,1.032160,0.308841,0.840704,1.388448,4.618856
sequential,seq_1t,data/guitar_0001.off,guitar_0001.off,64,11325,3,3.861663,0.063279,3.795445,3.921522,1.000000
openmp,omp_1t,data/guitar_0001.off,guitar_0001.off,64,11325,3,3.758007,0.101987,3.645517,3.844432,1.027583
openmp,omp_4t,data/guitar_0001.off,guitar_0001.off,64,11325,3,2.525339,1.648401,1.531050,4.428103,1.529166
openmp,omp_8t,data/guitar_0001.off,guitar_0001.off,64,11325,3,6.540301,5.090229,3.341817,12.410106,0.590441
